Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,10.040000,10.070000,9.930000,9.950000,9.656367,12798900
2018-09-25,10.060000,10.190000,10.030000,10.150000,9.850465,10763500
2018-09-26,10.060000,10.200000,10.030000,10.060000,9.763121,6388300
2018-09-27,10.100000,10.200000,10.070000,10.100000,9.801940,8822100
2018-09-28,10.220000,10.250000,10.120000,10.170000,9.869875,9329800
2018-10-01,10.340000,10.390000,10.300000,10.370000,10.063972,7440100
2018-10-02,10.320000,10.320000,10.200000,10.270000,9.966924,9053800
2018-10-03,10.120000,10.150000,10.010000,10.040000,9.743711,10073600
2018-10-04,9.810000,10.020000,9.800000,10.000000,9.704891,14905600
2018-10-05,10.020000,10.190000,10.010000,10.170000,9.869875,8296800
2018-10-08,9.970000,10.070000,9.920000,10.030000,9.734005,9091600
2018-10-09,9.970000,10.040000,9.930000,10.020000,9.724301,8825600
2018-10-10,9.810000,9.840000,9.630000,9.740000,9.452564,23251500
2018-10-11,9.530000,9.680000,9.460000,9.520000,9.239058,18729300
2018-10-12,9.650000,9.760000,9.570000,9.740000,9.452564,11524500
2018-10-15,9.850000,9.960000,9.790000,9.910000,9.617547,17032800
2018-10-16,9.950000,10.520000,9.910000,10.220000,9.918399,27500700
2018-10-17,10.060000,10.060000,9.740000,9.800000,9.510794,20694700
2018-10-18,9.780000,9.780000,9.350000,9.540000,9.258466,21337000
2018-10-19,9.600000,9.760000,9.540000,9.580000,9.297286,8651900
2018-10-22,9.570000,9.580000,9.400000,9.480000,9.200236,9586300
2018-10-23,9.240000,9.420000,9.220000,9.400000,9.122598,10275200
2018-10-24,9.300000,9.370000,9.050000,9.060000,8.792632,11702500
2018-10-25,9.080000,9.200000,9.050000,9.110000,8.934843,9126200
2018-10-26,8.990000,9.050000,8.850000,9.020000,8.846575,8647400
2018-10-29,9.080000,9.100000,8.880000,8.970000,8.797536,9618300
2018-10-30,9.160000,9.320000,9.100000,9.190000,9.013305,13429500
2018-10-31,9.450000,9.540000,9.410000,9.470000,9.287922,9089200
2018-11-01,9.390000,9.400000,9.210000,9.300000,9.121191,12112500
2018-11-02,9.340000,9.410000,9.230000,9.250000,9.072152,8302600
2018-11-05,9.290000,9.470000,9.290000,9.400000,9.219268,9240100
